id,macroId,iterationId,title,subtitle,url,instructions-template,digging-deeper-template,makers-template,logo,type,descriptionTitle,descriptionLong,descriptionShort
climate,1,14,Climate Tweetoscope,The language of climate change,http://tweetoscope.iscpif.fr/COP21/kiosk.html?lang=EN,instructions-charting-culture.tmpl.html,digging-deeper-charting-culture.tmpl.html,makers-charting-culture.tmpl.html,tweetscope.jpg,iframe,Do tweets and research papers speak the same language?,"When people talk about climate change, they use words like temperatures, storms, drought, cyclones, and polar bears. When scientists talk about climate change they use words like observations, models, and temperature anomalies. Are we talking past each other when it comes to climate change? Or do we share a common language?
The Climate Tweetoscope, developed by David Chavalarias and Maziyar Panahi, illustrates areas of divergence and overlap in the climate change conversation. Explore more than 30,000 scientific articles analyzed over 30 years with the Science view. The larger the topic, the more often it is used. Compare this to the Twitter & Media view, which analyzes more than 47million tweets posted from January of 2018 through April of 2018. Green topics get balanced attention from scientists and from the public, whereas red topics are primarily discussed in research and blue topics are mostly addressed on Twitter. Using the companion website (climate.iscpif.fr) you can simultaneously query a database of 300k papers and more than 100M tweets.","This network contains over 47million tweets and 27,000 papers. Compare the two to see howpublic interests and scientific research papers overlap when it comes to climate change."
foodrhythm,2,14,Rhythm of Food,What the world eats,http://clients.stefaner.eu/google/food/ps/,instructions-charting-culture.tmpl.html,digging-deeper-charting-culture.tmpl.html,makers-charting-culture.tmpl.html,rhythm-food.jpg,iframe,Search trends to see what food the world is craving.,"Food trends come and go. In this visualization from Mortiz Stefanerand Yuri Vishnevsky, the rise and fall of ingredients, drinks, diets, and regional cuisine are beautifully mapped on a year clock, a new form of data visualization that shows patterns through seasons and years. Composed of over 130,000 data points pulled from Google Trends, the ebb and flow of the past 12 years of food trends are revealed. Some insights are predictable. Searches for turkey peak in November around Thanksgiving and chocolate has a spike in February near Valentine’s Day. Other patterns revealchanges in our collective diet as people turn their attention (and stomachs) to cauliflower and cronuts. Rhythm of Foodis a collaboration between Google News Lab and Truth & Beauty.",Can Google search terms shed light on changing food trends? This year clock plots trends in food-related searches by month over 12 years. Searches for pumpkin spice lattes spike in September. What other trends do you see?
appalachian,3,14,The Appalachian Overdose Mapping Tool,Understanding addiction, http://overdosemappingtool.norc.org/nolinks.html,instructions-charting-culture.tmpl.html,digging-deeper-charting-culture.tmpl.html,makers-charting-culture.tmpl.html,overdose-appalachia.jpg,iframe,Click to see what the opioid epidemic looks like in Appalachia.,"The Appalachian Overdose Mapping Toolshowscounty-level overdose mortality data. Select overlays of socio-economic factors like poverty, unemployment, educational attainment, and disability to look for patterns and trends throughout Appalachia. You can zoom in and display data for each of the 420 Appalachian counties, or compare rural and urban counties within Appalachia. See how the opioid epidemic has grown by comparing data from two time periods: 2007-2011and 2012-2016.
The Appalachian Overdose Mapping Toolsupports communityplanning and response, particularly in terms of strategies to address the opioid crisis. The tool uses data from the Centers for Disease Control’s National Vital Statistics System, the U.S. Census Bureau’s American Community Survey, andthe U.S. Bureau ofLabor Statistics’ Quarterly Census of Employment and Wages.The tool was developed by Ned English, Megan Heffernan, Peter Herman, and Michael Meit, all associated with the non-partisan research organization NORC at the University of Chicago.","The opioid epidemic claims lives every day. Map factors such as age, race, education, income, and employment to see if there are relationships between overdose rates, demographics, and economics in Appalachia."
violenceinfo,4,14,Violence Info,"Violence, visualized",http://apps.who.int/violence-info/,instructions-charting-culture.tmpl.html,digging-deeper-charting-culture.tmpl.html,makers-charting-culture.tmpl.html,violence2.png,iframe,Violence exists in many forms. Select one to see its global impact.,"Public information about violence often presents an up close and personal view of the effects of violence. Violence Infotakes the opposite approach, stepping back and looking at interpersonal violence at a global scale. A project of the World Health Organization (WHO), Violence Infodraws on over 3,000 sources, including published scientific studies, WHO Global Health Estimates, and WHO’s 2014 Global Status Report on Violence Prevention.
Each of the six forms of violence presented here—homicide, intimate partner violence, sexual violence, elder abuse, youth violence, and child maltreatment—affects us on a surprisingly large scale. Nearly half a million people are murdered each year, and 23% of children are physically abused, with long-term consequences to their well-being. Click a statistic to be directed to a body of research on that topic. Knowledge is power, and the World Health Organization hopes that, by making the research accessible, we can work to predict and therefore prevent violence.Designed and developed by Interactive Thingsfor the World Health Organization, the project was supported by the Public Health Agency of Canada, UBS Optimus Foundation, and the United States Centers for Disease Control and Prevention","Homicide, intimate partner violence, sexual violence, elder abuse, youth violence, and child maltreatment: violence exists around the world. Can we use data to predict and prevent it?"
cosmicweb,1,13,The Cosmic Web,And the network behind it,http://cosmicweb.kimalbrecht.com/viz/#2,instructions-charting-culture.tmpl.html,digging-deeper-charting-culture.tmpl.html,makers-charting-culture.tmpl.html,cosmicweb.jpg,iframe,"Rotate. Zoom. Immerse yourself in a network of 24,000 galaxies.","The concept of the cosmic web—viewing the universe as a set of discrete galaxies held together by gravity—is deeply ingrained in cosmology. Yet, little is known about the architecture of this network or its characteristics. Visual researcher and information designer Kim Albrecht worked with Albert-László Barabási, of Northeastern University’s Center for Complex Network Research, and a team of astronomers to construct multiple models of the cosmic web. The project team used data from 24,000 galaxies to offer blueprints for how galaxies fit together. The resulting interactive visualizations helped the team imagine the cosmic web, showed them differences between the models, and provided insight into the fundamental structure of the universe.
Immerse yourself in a network of 24,000 galaxies with more than 100,000 connections. By selecting a model, panning and zooming, and filtering the data, you can comparethree distinct models of the cosmic web.",Astronomers and network scientists worked with an information designer to visualize three different network models to help them understand how the universe is structured and how galaxies are connected.
histography,2,13,Histography,An interactive timeline,http://histography.io/exhibtion.html,instructions-earth.tmpl.html,digging-deeper-earth.tmpl.html,makers-earth.tmpl.html,histography.jpg,iframe,Filter by topic or pick a time period to browse the past.,"Histographyis an award-winning interactive timeline. The site draws historical events from Wikipedia, and updates itself daily as new events are added to the online encyclopedia. Matan Stauber, currently an interactive designer and code developer in Tel Aviv, createdHistographyas a final project at Bezalel Academy of Arts and Design in Jerusalem.
Using bars at the bottom and left of the screen, you can filter events by time and by category. Or touch the green box in thetop left corner of the screen to view an edited collection of stories. The pink square in the top right will then take you back to the main screen.","Histographyis an interactive timeline that spans billions of years, from the Big Bang to today."
megaregions,3,13,Megaregions of the US,Mapping commuter patterns,http://discovery.dartmouth.edu/megaregions/scimaps.html,instructions-mapping-global-news.tmpl.html,digging-deeper-mapping-global-news.tmpl.html,makers-mapping-global-news.tmpl.html,megaregions.jpg,iframe,Tap to see the name of your new megaregion.,"Every day, millions of Americans weave together a new geography of commuter patterns.These interlinked megaregions, connected by economic ties, suggest that new kinds of geographic categories are necessary if we wish to accurately describe the functionalnetworkof flows and relationships which shape our lives in the modern world.
Megaregions of the USis the work of historical geographer Garrett Dash Nelson, a postdoctoral researcher at Dartmouth College, and Alasdair Rae, an urban and regional data analyst at the University of Sheffield in England. The colorful starbursts are made up of approximately four million lines. Each line shows the linkage of commuters between one census tract and another, with the width proportional to the number of commuters, based ondata from the 2010 census. Using an algorithmic technique called community detection to group statistically significant clusters of related places, the map is then divided up into distinct megaregions.
Can you find your own hometown, your own commute, and your new megaregion? Look for places on the map where many commutes cutacross megaregional boundaries, and for other places where a single city acts as a center of gravity for commuter traffic. Whatmight our political and planning systems look like if we made these megaregions the basis for dividing up the United States?","Every day, millions of Americans leave home and head to work, cutting across neighborhood, city, and state lines. This map depicts how state lines would look if we drew them to reflect the transportation patterns that shape our lives."
sciencepaths,4,13,Science Paths,The random impact rule,http://sciencepaths.kimalbrecht.com/,instructions-academy-scope.tmpl.html,digging-deeper-academy-scope.tmpl.html,makers-academy-scope.tmpl.html,sciencepaths.jpg,iframe,Each line represents one scientist’s career.,"Northeastern University’s Center for Complex Research members Kim Albrecht and Albert-László Barabásiworked with Roberta Sinatra, a theoretical physicist from Budapest, to analyze the publication histories of nearly 10,000 scientists working in seven disciplines, connecting each paper with its long-term impact on the scientific community. They found thatthe most influential work of a scientist’s career is randomly distributed within her body of work. That is, the highest-impact workhas the same probability of falling anywhere in the sequence of papers published by a scientist. It could be the first publication, appear mid-career, or emerge last. The team coined this the random impact rule.This visualization shows the random impact rule in all its power. You can explore careers in different disciplines and rank scientists according to different career parameters, like the total number of papers in each scientists’ career. You will find impact peaks occurringall over the place, from the beginning of a career on the left to the end of a career on the right","Follow it to find the peak.Can you predict the timing of ascientist’s most influential paper? Do scientists tend to produce their most influential workat the end of their career? In a word, no."
smelly-maps,1,12,Smelly Maps,Charting urban smellscapes,http://goodcitylife.org/macroscope/,instructions-earth.tmpl.html,digging-deeper-earth.tmpl.html,makers-earth.tmpl.html,smelly.png,iframe,Touch a street to see what it smells like.,"What does your street smell like? Humans can differentiate thousands of different odors. Yet, city officials and urban plannersdeal only with the management of a few bad odors.  In  creating Smelly  Maps,  University  of  Turin  computer  science  professor  Rossano  Schifanella  and  Bell  Labs researchers Luca Maria Aiello and Daniele Quercia teamed up to introduce a new stream of research that celebrates the complex aromas of our cities and makes it possible to use this information in urban design.
To map urban smellscapes, the project team first created a lexicon of smell-related words. Then, they gathered geotagged social media posts from Flickr, Instagram, and Twitter that included smell-related words. Finally, the smells people posted about were mapped on each street segment.
Click on a street to see how it smells. As you might expect, nature smells are strong near parks and animal smells dominate at the zoo. Where do you find the strongest food smells?","The Good City Life team gathered geotagged social media posts from Flickr, Instagram, and Twitter that included smell-related words and mapped them. Explore the complex aromas of London, Boston, Chicago, and other world cities."
hathitrust,2,12,HathiTrust,Storehouse of knowledge,/macroscopes/hathi/,instructions-mapping-global-news.tmpl.html,digging-deeper-mapping-global-news.tmpl.html,makers-mapping-global-news.tmpl.html,htrc.png,iframe,Drag your finger over the timeline.,"Run by a consortium of international research libraries, the HathiTrust Digital Library serves as a shared and growing repository for digital copies of more than 14 million publications that span 2000 years. Visualization software developer David Reagan, curator Lisel Record, and information scientist Katy Bӧrner developed this visualization to delve into the geographic and temporal diversity of the collection using freely available metadata.
Yellow circles show publication locations, with the size of the circle showing how many publications were printed in that location. Lines connect publication locations to places where that language is spoken, illustrating the connection between publication location and potential readers. If you look at publications from the years 1200-1400 you see the prominence of Persian scienceand culture reflected in the high number of publications from Iran and other Middle Eastern locations. If, on the other hand, you look at publications from the last 50 years, a colorful swirl of publications bubble up from many regions and flow to readersaround the globe.",The HathiTrustDigital Library is a collective “elephant’s memory” or storehouse of knowledge. Explore the diversity in this collection of more than 14 million publications spanning 2000 years.
